date	temperature	sports_drink	soda	bottled_water	fruit_juice
2015/1/31	4.9	0.524271875	0.388052807	0.62803893	0.518350849
2015/2/1	4	0.482179734	0.39394642	0.63925914	0.517348827
2015/2/2	4.7	0.484261838	0.391926032	0.638896853	0.51307025
2015/2/3	4.7	0.510505969	0.450462699	0.65921263	0.505301541
2015/2/4	5.2	0.54664267	0.459271185	0.67116324	0.551721125
2015/2/5	2.6	0.580550574	0.4336914	0.656289637	0.579721059
2015/2/6	5.4	0.514745702	0.427143212	0.63623555	0.558667577
2015/2/7	5.3	0.531629458	0.444221574	0.68604979	0.545485519
2015/2/8	4	0.529078169	0.416602592	0.595447309	0.596339254
2015/2/9	2	0.503325014	0.407593571	0.585830941	0.55838414
2015/2/10	3.2	0.553858301	0.43226614	0.674102227	0.606022252
2015/2/11	5.6	0.558331098	0.459472842	0.651532483	0.605969907
2015/2/12	7	0.605279888	0.477313559	0.695606306	0.695546679
2015/2/13	5	0.657496531	0.485926721	0.711551769	0.708145457
2015/2/14	4.9	0.567897544	0.452094055	0.69030231	0.661197778
2015/2/15	5.5	0.550460193	0.469172187	0.639903652	0.61823505
2015/2/16	7	0.549533079	0.451316187	0.652093034	0.615700177
2015/2/17	3.9	0.61573527	0.4883945	0.764286424	0.629901484
2015/2/18	3.3	0.546777852	0.463900689	0.739019611	0.636092712
2015/2/19	6.2	0.57052773	0.472082003	0.753555785	0.651179223
2015/2/20	6.3	0.620827582	0.500752984	0.738030783	0.676290086
2015/2/21	6.2	0.674626163	0.515805283	0.789676508	0.670117907
2015/2/22	6.3	0.605629395	0.499176275	0.74472637	0.662323965
2015/2/23	10.7	0.611301332	0.492145696	0.741477597	0.664946318
2015/2/24	9.7	0.65613936	0.609873583	0.916982932	0.823384801
2015/2/25	9.2	0.630577982	0.596274406	0.895218579	0.80972752
2015/2/26	6.6	0.609204506	0.586613429	0.819531931	0.829458695
2015/2/27	8.2	0.5823198	0.581231675	0.776360399	0.760853084
2015/2/28	7.4	0.556387662	0.558674461	0.769576772	0.712797658
2015/3/1	6.9	0.569318928	0.537540444	0.711285601	0.69990845
2015/3/2	9.3	0.552930557	0.532296456	0.738128702	0.661772527
2015/3/3	5.6	0.594203285	0.573668532	0.732911544	0.6702176
2015/3/4	9.6	0.53096687	0.575593635	0.746621486	0.68156108
2015/3/5	9.3	0.702937991	0.65923814	0.763394786	0.786265412
2015/3/6	7.3	0.623491028	0.634805981	0.710229847	0.736871684
2015/3/7	6	0.547453748	0.507551945	0.671306478	0.633277102
2015/3/8	8.2	0.586147222	0.494281108	0.648712299	0.582492891
2015/3/9	9	0.580085085	0.493523754	0.63988745	0.628985441
2015/3/10	7.7	0.603290585	0.518367252	0.653651931	0.643446201
2015/3/11	6.2	0.584978314	0.516868802	0.682589533	0.607972031
2015/3/12	8.6	0.744013447	0.594779139	0.750113297	0.697758373
2015/3/13	8.9	0.683690442	0.613355468	0.693198074	0.831490671
2015/3/14	8.9	0.753133294	0.638262743	0.758776607	0.867603291
2015/3/15	8.4	0.654986292	0.600739513	0.734265157	0.844508822
2015/3/16	11.1	0.676225469	0.595514541	0.745619858	0.86339167
2015/3/17	14.5	0.778944982	0.769483953	0.94983542	1.067126125
2015/3/18	14.8	0.81618571	0.812257347	0.934409136	1.209926933
2015/3/19	11.9	0.818041083	0.800135633	1.079797216	1.105752477
2015/3/20	11.8	0.722232859	0.786913896	0.983767167	1.060349285
2015/3/21	10.5	0.670021891	0.753228054	0.825072256	0.868930612
2015/3/22	12.9	0.681846233	0.743701205	0.825289231	0.92494214
2015/3/23	10.7	0.682415599	0.75398881	0.841811396	0.934829969
2015/3/24	8.2	0.721937495	0.714825969	0.888682317	0.912487982
2015/3/25	8.1	0.694140471	0.712301203	0.870016529	0.893153208
2015/3/26	9.5	0.790833223	0.762304887	0.94807282	0.932983372
2015/3/27	12.3	0.785160388	0.840851232	0.984295058	1.141258593
2015/3/28	14.1	0.864418294	0.905525407	1.062014938	1.242004974
2015/3/29	14.6	0.897487382	0.897667108	1.063050807	1.300044337
2015/3/30	16.2	0.886274614	0.88766537	1.054915092	1.257159987
2015/3/31	16.7	0.855381054	1.027790923	1.206239267	1.36935996
2015/4/1	13.9	0.920859284	0.979355395	1.211229489	1.420895277
2015/4/2	11.6	0.763009595	0.903492816	1.109743561	1.12707243
2015/4/3	17.3	0.673762024	0.847951437	1.034969191	1.138293273
2015/4/4	13.2	0.696919975	0.748372247	0.979115115	0.974663695
2015/4/5	10.3	0.601101705	0.687856869	0.911998073	0.868064445
2015/4/6	16.2	0.616514982	0.6972027	0.907318466	0.889203721
2015/4/7	10	0.68136095	0.716875032	1.040486724	0.966663784
2015/4/8	4.1	0.5676891	0.632953696	0.874591353	0.800119394
2015/4/9	7.4	0.558823653	0.575606359	0.796037408	0.739637959
2015/4/10	8.3	0.529410763	0.602639022	0.842289653	0.805732081
2015/4/11	11.5	0.568285831	0.619819003	0.796936194	0.842635864
2015/4/12	12.9	0.613719305	0.580228722	0.818668675	0.79124598
2015/4/13	9.7	0.586758808	0.573192586	0.81770653	0.81387943
2015/4/14	12.1	0.600839613	0.597825683	0.807483024	0.825585102
2015/4/15	15.4	0.681422863	0.693500991	0.934109558	0.882118786
2015/4/16	15.7	0.836057616	0.838274596	1.106333561	1.056545145
2015/4/17	16.4	0.870639306	0.881230129	1.102301767	1.125987104
2015/4/18	14	0.760495108	0.823479093	1.083621493	1.135260635
2015/4/19	14.3	0.757106708	0.788586307	1.019335173	1.066178588
2015/4/20	18.4	0.75533654	0.78489413	1.01224065	1.044544254
2015/4/21	17.5	0.84754938	0.853279786	1.105305256	1.128530136
2015/4/22	15.7	0.885630048	0.888201174	1.139668879	1.108369917
2015/4/23	18	0.993917812	1.023076347	1.314699906	1.288416343
2015/4/24	18.3	1.109699302	1.090825618	1.391822562	1.476336598
2015/4/25	17.2	1.051694782	1.018946843	1.250398188	1.459681369
2015/4/26	17.8	1.11356963	1.003931859	1.20309949	1.308335595
2015/4/27	19.3	1.144018994	0.997511007	1.223182815	1.260734905
2015/4/28	20.8	1.262943534	1.120035608	1.291967569	1.490007949
2015/4/29	19.4	1.229938402	1.183555198	1.292818213	1.5553738
2015/4/30	19	1.057188876	0.95663029	1.144067503	1.481817142
2015/5/1	20.5	1.166205806	1.040303525	1.155055477	1.603905106
2015/5/2	21	1.261991214	1.162220738	1.312910985	1.784712728
2015/5/3	21.2	1.191054397	1.082939247	1.139067346	1.474731076
